name,link,rating,enroll,instructor,time,levelrequirement,skillrequirement,SkillWillLearn,SkillGain,Subject,organization,fee,program,RelationInsOrg,Subtitle
Visualizing Data in the Tidyverse,https://www.coursera.org/learn/tidyverse-visualize-data,,,"Carrie Wright, PhD,Shannon Ellis, PhD,Stephanie Hicks, PhD,Roger D. Peng, PhD",17 hours,,,Distinguish between various types of plots and their uses. Use the ggplot2 R package to develop data visualizations. Build effective data summary tables. Build data animations for visual storytelling,,Data Science,Johns Hopkins University,Enroll for Free,Tidyverse Skills for Data Science in R Specialization,"Carrie Wright, PhD work for Johns Hopkins University,Shannon Ellis, PhD work for Johns Hopkins University,Stephanie Hicks, PhD work for Johns Hopkins University,Roger D. Peng, PhD work for Johns Hopkins University",Subtitles: English
Wrangling Data in the Tidyverse,https://www.coursera.org/learn/tidyverse-data-wrangling,4.8,,"Carrie Wright, PhD,Shannon Ellis, PhD,Stephanie Hicks, PhD,Roger D. Peng, PhD",14 hours,Manually,,Apply Tidyverse functions to transform non-tidy data to tidy data. Conduct basic exploratory data analysis. Conduct analyses of text data,,Data Science,Johns Hopkins University,Enroll for Free,Tidyverse Skills for Data Science in R Specialization,"Carrie Wright, PhD work for Johns Hopkins University,Shannon Ellis, PhD work for Johns Hopkins University,Stephanie Hicks, PhD work for Johns Hopkins University,Roger D. Peng, PhD work for Johns Hopkins University",Subtitles: English
Modeling Data in the Tidyverse,https://www.coursera.org/learn/tidyverse-modelling-data,,,"Carrie Wright, PhD,Shannon Ellis, PhD,Stephanie Hicks, PhD,Roger D. Peng, PhD",21 hours,,,Describe different types of data analytic questions. Conduct hypothesis tests of your data. Apply linear modeling techniques to answer multivariable questions. Apply machine learning workflows to detect complex patterns in your data,,Data Science,Johns Hopkins University,Enroll for Free,Tidyverse Skills for Data Science in R Specialization,"Carrie Wright, PhD work for Johns Hopkins University,Shannon Ellis, PhD work for Johns Hopkins University,Stephanie Hicks, PhD work for Johns Hopkins University,Roger D. Peng, PhD work for Johns Hopkins University",Subtitles: English
The Data Science of Health Informatics,https://www.coursera.org/learn/the-data-science-of-health-informatics,4.7,"12,002","Hadi H. K. Kharrazi, MD, Ph.D,Sam Meiselman",10 hours,Beginner,"While there are no prerequisites, prior experience with, or knowledge of, health, healthcare, technology, and statistics are helpful.",Articulate different forms of clinical and population level data. Describe the data required to answer a healthcare information problem. Distinguish between data questions and data queries when dealing with a healthcare information problem.,Data Science          Database (DBMS)          Data Analysis          Health Informatics          data querying      ,Health,Johns Hopkins University,Enroll for Free,Health Informatics Specialization,"Hadi H. K. Kharrazi, MD, Ph.D work for Johns Hopkins University,Sam Meiselman work for Johns Hopkins University","Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish"
The Fundamental of Data-Driven Investment,https://www.coursera.org/learn/the-fundamental-of-data-driven-investment,,,Youngju Nielsen,19 hours,Beginner,,Build an investment factor model using regression methodology. Employ optimization algorithm using R standard library. Explain the portfolio performance,Build an investment factor model using regression methodology.          Explain the portfolio performance.          Employ optimization algorithm using R standard library.      ,Data Science,Sungkyunkwan University,Enroll for Free,,Youngju Nielsen work for Sungkyunkwan University,English
"Teaching Impacts of Technology: Data Collection, Use, and Privacy",https://www.coursera.org/learn/teach-impacts-technology-data,4.6,"2,623",Beth Simon,13 hours,Beginner,,"In this course you’ll focus on how constant data collection and big data analysis have impacted us, exploring the interplay between using your data and protecting it, as well as thinking about what it could do for you in the future. This will be done through a series of paired teaching sections, exploring a specific “Impact of Computing” in your typical day and the “Technologies and Computing Concepts” that enable that impact, all at a K12-appropriate level.  This course is part of a larger Specialization through which you’ll learn impacts of computing concepts you need to know, organized into 5 distinct digital “worlds”, as well as learn pedagogical techniques and evaluate lesson plans and resources to utilize in your classroom. By the end, you’ll be prepared to teach pre-college learners to be both savvy and effective participants in their digital world.In this particular digital world (personal data), you’ll explore the following Impacts &amp; Technology pairs --Impacts (Show me what I want to see!): Internet Privacy, Custom Ads, Personalization of web pagesTechnologies and Computing Concepts: Cookies, Web vs Internet, https, Web ServersImpacts (Use my data…. But protect it!): Common Cybersecurity knowledge levels, ISP data collection, Internet design, finding out what is known about you online, software terms and servicesTechnology and Computing Concepts: DNS, Cryptography (ciphers, hashing, encryption, SSL), Deep and Dark WebImpacts (What could my data do for me in the future?): What is Big Data, Machine Learning finds new music, Wearable technologies.Technology and Computing Concepts: AI vs ML, Supervised vs Unsupervised learning, Neural Networks, Recommender systems, Speech recognitionIn the pedagogy section for this course, in which best practices for teaching computing concepts are explored, you’ll learn how to apply Bloom’s taxonomy to create meaningful CS learning objectives, the importance of retrieval-based learning, to build learning activities with online simulators, and how to use “fun” books to teach computing.In terms of CSTA K-12 computer science standards, we’ll primarily cover learning objectives within the “impacts of computing” concept, while also including some within the “networks and the Internet” concepts and the “data and analysis” concept. Practices we cover include “fostering and inclusive computing culture”, “recognizing and defining computational problems”, and “communicating about computing”.",,Social Sciences,University of California San Diego,Enroll for Free,Teaching Impacts of Technology in K-12 Education Specialization,Beth Simon work for University of California San Diego,Subtitles: English
Survey Data Collection and Analytics Project (Capstone),https://www.coursera.org/learn/survey-data-capstone,,,"Frauke Kreuter, Ph.D.,Frederick Conrad, Ph.D.,James M Lepkowski,Richard Valliant, Ph.D.",14 hours,,,"The Capstone Project offers qualified learners to the opportunity to apply their knowledge by analyzing and comparing multiple data sources on the same topic. Students will develop a research question, access and analyze relevant data, and critically examine the quality of each data source. At the completion of this capstone, students will have demonstrated hands-on data analysis capability, evaluated the quality of different data sources using the Total Survey Error approach, involving at least some of the following: comparing weighted non-probability samples to data collected from probability samples, using sampling techniques to correct for coverage errors, and tracking and assess the ease of using an online questionnaire that you implement.",,Health,"University of Michigan,University of Maryland, College Park",Enroll for Free,Survey Data Collection and Analytics  Specialization,"Frauke Kreuter, Ph.D. work for University of Michigan, University of Maryland, College Park,Frederick Conrad, Ph.D. work for University of Michigan,James M Lepkowski work for University of Michigan,Richard Valliant, Ph.D. work for University of Maryland, College Park",Subtitles: English
Statistics for Data Science with Python,https://www.coursera.org/learn/statistics-for-data-science-python,4.6,"9,567","Murtaza Haider,Aije Egwaikhide",13 hours,,,"This Statistics for Data Science course is designed to introduce you to the basic principles of statistical methods and procedures used for data analysis. After completing this course you will have practical knowledge of crucial topics in statistics including. - data gathering, summarizing data using descriptive statistics, displaying and visualizing data, examining relationships between variables, probability distributions, expected values, hypothesis testing, introduction to ANOVA (analysis of variance), regression and correlation analysis. You will take a hands-on approach to statistical analysis using Python and Jupyter Notebooks – the tools of choice for Data Scientists and Data Analysts.  At the end of the course, you will complete a project to apply various concepts in the course to a Data Science problem involving a real-life inspired scenario and demonstrate an understanding of the foundational statistical thinking and reasoning. The focus is on developing a clear understanding of the different approaches for different data types, developing an intuitive understanding, making appropriate assessments of the proposed methods, using Python to analyze our data, and interpreting the output accurately. This course is suitable for a variety of professionals and students intending to start their journey in data and statistics-driven roles such as Data Scientists, Data Analysts, Business Analysts, Statisticians, and Researchers. It does not require any computer science or statistics background. We strongly recommend taking the Python for Data Science course before starting this course to get familiar with the Python programming language,. Jupyter notebooks, and libraries. An optional refresher on Python is also provided.After completing this course, a learner will be able to:✔Calculate and apply measures of central tendency and measures of dispersion to grouped and ungrouped data.✔Summarize, present, and visualize data in a way that is clear, concise, and provides a practical insight for non-statisticians needing the results.✔Identify appropriate hypothesis tests to use for common data sets.✔Conduct hypothesis tests, correlation tests, and regression analysis.✔Demonstrate proficiency in statistical analysis using Python and Jupyter Notebooks.",Probability And Statistics          Regression Analysis          Data Visualization (DataViz)          Statistical Hypothesis Testing          Basic Descriptive Statistics      ,Data Science,IBM,Enroll for Free,Data Science Fundamentals with Python and SQL Specialization,"Murtaza Haider work for IBM,Aije Egwaikhide work for IBM",English
Statistical Inference for Estimation in Data Science,https://www.coursera.org/learn/statistical-inference-for-estimation-in-data-science,,,Jem Corcoran,27 hours,Intermediate,Sequence in calculus up through Calculus II (preferably multivariate calculus) and some programming experience in R.,"Identify characteristics of “good” estimators and be able to compare competing estimators. Construct sound estimators using the techniques of maximum likelihood and method of moments estimation. Construct and interpret confidence intervals for one and two population means, one and two population proportions, and a population variance.",,Data Science,University of Colorado Boulder,Enroll for Free,Data Science Foundations: Statistical Inference Specialization,Jem Corcoran work for University of Colorado Boulder,Subtitles: English
SQL for Data Science with R,https://www.coursera.org/learn/sql-data-science-r,4,"2,470",Rav Ahuja,16 hours,Beginner,,"Create and access a database instance on cloud. Write basic SQL statements: CREATE, DROP, SELECT, INSERT, UPDATE, DELETE. Filter, sort, group results, use built-in functions, compose nested queries, access multiple tables. Access databases from Jupyter using R and SQL to query real-world datasets",Data Science          Select (Sql)          Relational Databases (RDBMS)          R Programming          Tables (Database)      ,Data Science,IBM,Enroll for Free,,"Rav Ahuja work for Coursera, IBM",English
SQL for Data Science,https://www.coursera.org/learn/sql-for-data-science,4.6,"358,409",Sadie St. Lawrence,14 hours,Beginner,,"Identify a subset of data needed from a column or set of columns and write a SQL query to limit to those results. Use SQL commands to filter, sort, and summarize data. Create an analysis table from multiple queries using the UNION operator. Manipulate strings, dates, &amp; numeric data using functions to integrate data from different sources into fields with the correct format for analysis.",Data Science          Data Analysis          Sqlite          SQL      ,Data Science,"University of California, Davis",Enroll for Free,Learn SQL Basics for Data Science Specialization,"Sadie St. Lawrence work for University of California, Davis","Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish"
SQL for Data Science Capstone Project,https://www.coursera.org/learn/sql-data-science-capstone,4.1,"18,019",Don Noxon,35 hours,Intermediate,,Develop a project proposal and select your data. Perform descriptive statistics as part of your exploratory analysis. Develop metrics and perform advanced techniques in SQL. Present your findings and make recommendations,Presentation Skills          Data Analysis          SQL          creating metrics          Exploratory Data Analysis      ,Data Science,"University of California, Davis",Enroll for Free,Learn SQL Basics for Data Science Specialization,"Don Noxon work for University of California, Davis","Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish"
Databases and SQL for Data Science with Python,https://www.coursera.org/learn/sql-data-science,4.6,"220,195","Rav Ahuja,Hima Vasudevan",20 hours,Beginner,,"Create and access a database instance on cloud. Write basic SQL statements: CREATE, DROP, SELECT, INSERT, UPDATE, DELETE. Filter, sort, group results, use built-in functions, access multiple tables. Access databases from Jupyter using Python and work with real world datasets",Cloud Databases          Python Programming          Ipython          Relational Database Management System (RDBMS)          SQL      ,Data Science,IBM,Enroll for Free,,"Rav Ahuja work for Coursera, IBM,Hima Vasudevan work for IBM","English, Arabic, Persian"
Spatial Data Science and Applications,https://www.coursera.org/learn/spatial-data-science,4.4,"18,504",Joon Heo,12 hours,Intermediate,,"Spatial (map) is considered as a core infrastructure of modern IT world, which is substantiated by business transactions of major IT companies such as Apple, Google, Microsoft, Amazon, Intel, and Uber, and even motor companies such as Audi, BMW, and Mercedes. Consequently, they are bound to hire more and more spatial data scientists. Based on such business trend, this course is designed to present a firm understanding of spatial data science to the learners, who would have a basic knowledge of data science and data analysis, and eventually to make their expertise differentiated from other nominal data scientists and data analysts. Additionally, this course could make learners realize the value of spatial big data and the power of open source software's to deal with spatial data science problems. This course will start with defining spatial data science and answering why spatial is special from three different perspectives - business, technology, and data in the first week. In the second week, four disciplines related to spatial data science - GIS, DBMS, Data Analytics, and Big Data Systems, and the related open source software's - QGIS, PostgreSQL, PostGIS, R, and Hadoop tools are introduced together. During the third, fourth, and fifth weeks, you will learn the four disciplines one by one from the principle to applications. In the final week, five real world problems and the corresponding solutions are presented with step-by-step procedures in environment of open source software's.",Spatial Analysis          Qgis          Big Data          Geographic Information System (GIS)      ,Data Science,Yonsei University,Enroll for Free,,Joon Heo work for Yonsei University,"Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish"
Social Media Data Analytics,https://www.coursera.org/learn/social-media-data-analytics,4.1,"35,265",Chirag Shah,13 hours,Intermediate,,"Learner Outcomes: After taking this course, you will be able to:. - Utilize various Application Programming Interface (API) services to collect data from different social media sources such as YouTube, Twitter, and Flickr.- Process the collected data - primarily structured - using methods involving correlation, regression, and classification to derive insights about the sources and people who generated that data.- Analyze unstructured data - primarily textual comments - for sentiments expressed in them.- Use different tools for collecting, analyzing, and exploring social media data for research and development purposes.Sample Learner Story: Data analyst wanting to leverage social media data.Isabella is a Data Analyst working as a consultant for a multinational corporation. She has experience working with Web analysis tools as well as marketing data. She wants to now expand into social media arena, trying to leverage the vast amounts of data available through various social media channels. Specifically, she wants to see how their clients, partners, and competitors view their products/services and talk about them. She hopes to build a new workflow of data analytics that incorporates traditional data processing using Web and marketing tools, as well as newer methods of using social media data.Sample Job Roles requiring these skills: - Social Media Analyst- Web Analyst- Data Analyst- Marketing and Public Relations Final Project Deliverable/ Artifact: The course will have a series of small assignments or mini-projects that involve data collection, analysis, and presentation involving various social media sources using the techniques learned in the class.The course was developed by Dr. Chirag Shah while he was a faculty member at Rutgers University. He is currently a faculty member at University of Washington.",Python Programming          Statistical Analysis          Sentiment Analysis          R Programming      ,Data Science,University of Washington,Enroll for Free,,"Chirag Shah work for University of Washington, Rutgers the State University of New Jersey","Arabic, French, Portuguese (European), Italian, Vietnamese, German, Russian, English, Spanish"
Serverless Data Processing with Dataflow: Foundations,https://www.coursera.org/learn/serverless-data-processing-with-dataflow-foundations,4.1,"2,583",Google Cloud Training,3 hours,Intermediate,,"This course is part 1 of a 3-course series on Serverless Data Processing with Dataflow. In this first course, we start with a refresher of what Apache Beam is and its relationship with Dataflow. Next, we talk about the Apache Beam vision and the benefits of the Beam Portability framework. The Beam Portability framework achieves the vision that a developer can use their favorite programming language with their preferred execution backend. We then show you how Dataflow allows you to separate compute and storage while saving money, and how identity, access, and management tools interact with your Dataflow pipelines. Lastly, we look at how to implement the right security model for your use case on Dataflow.  Prerequisites:The Serverless Data Processing with Dataflow course series builds on the concepts covered in the Data Engineering specialization. We recommend the following prerequisite courses:(i)Building batch data pipelines on Google Cloud : covers core Dataflow principles(ii)Building Resilient Streaming Analytics Systems on Google Cloud : covers streaming basics concepts like windowing, triggers, and watermarks &gt;&gt;&gt; By enrolling in this course you agree to the Qwiklabs Terms of Service as set out in the FAQ and located at: https://qwiklabs.com/terms_of_service &lt;&lt;&lt;",,Data Science,Google Cloud,Enroll for Free,Serverless Data Processing with Dataflow Specialization,Google Cloud Training work for Google Cloud,Subtitles: English
Serverless Data Processing with Dataflow: Operations,https://www.coursera.org/learn/serverless-data-processing-with-dataflow-operations,,,Google Cloud Training,10 hours,Advanced,,"Perform monitoring, troubleshooting, testing and CI/CD on Dataflow pipelines. Deploy Dataflow pipelines with reliability in mind to maximize stability for your data processing platform",,Data Science,Google Cloud,Enroll for Free,Serverless Data Processing with Dataflow Specialization,Google Cloud Training work for Google Cloud,Subtitles: English
Security and Privacy for Big Data - Part 1,https://www.coursera.org/learn/security-privacy-big-data,4.6,"12,139","Enrique Barra,Fabian Garcia Pastor",1 hour,Beginner,,Recognize all security related issues in big data systems and projects. Define cryptographic principles and mechanisms to manage access controls in your Big Data system. Explain security risks and challenges for Big Data system.,,Information Technology,EIT Digital ,Enroll for Free,,"Enrique Barra work for EIT Digital ,Fabian Garcia Pastor work for EIT Digital ","Subtitles: French, Portuguese (European), Russian, English, Spanish"
